編號,資料集名稱,資料來源(部會單位),第一層級,第二層級,資料量,下載次數,主要欄位
114,104年臺中市低收入戶特殊項目救助及服務,社會局,臺中市政府,社會局,,,臺中市低收入戶特殊項目救助及服務
115,104年臺中市低收入戶輔導就業服務,社會局,臺中市政府,社會局,,,臺中市低收入戶輔導就業服務
116,104年臺中市爆竹煙火安全檢查,消防局,臺中市政府,消防局,,,臺中市爆竹煙火安全檢查
117,104年臺中市低收入戶及節日慰問概況,社會局,臺中市政府,社會局,,,臺中市低收入戶及節日慰問概況
118,104年臺中市液化石油氣消防安全檢查,消防局,臺中市政府,消防局,,,臺中市液化石油氣消防安全檢查
119,104年臺中市中低收入戶特殊項目救助及服務,社會局,臺中市政府,社會局,,,臺中市中低收入戶特殊項目救助及服務
120,104年臺中市中低收入戶輔導就業服務,社會局,臺中市政府,社會局,,,臺中市中低收入戶輔導就業服務
121,104年臺中市液化石油氣消防安全檢查及違規取締,消防局,臺中市政府,消防局,,,臺中市液化石油氣消防安全檢查及違規取締
122,104年臺中市遭受災害救助情形,社會局,臺中市政府,社會局,,,臺中市遭受災害救助情形
123,104年臺中市辦理急難救助概況,社會局,臺中市政府,社會局,,,臺中市辦理急難救助概況
124,104年臺中市辦理社會救助醫療及看護補助概況,社會局,臺中市政府,社會局,,,臺中市辦理社會救助醫療及看護補助概況
125,104年臺中市防焰規制執行情形－設置防焰物品場所,每年,臺中市政府,,,,臺中市防焰規制執行情形－設置防焰物品場所
126,104年臺中市社會救助通報處理情形,社會局,臺中市政府,社會局,,,臺中市社會救助通報處理情形
127,104年臺中市消防安全設備檢修申報,消防局,臺中市政府,消防局,,,臺中市消防安全設備檢修申報
128,104年臺中市失蹤人口,臺中市警察局,臺中市政府,警察局,,,臺中市失蹤人口
129,104年臺中市兒童及少年福利機構及服務概況,社會局,臺中市政府,社會局,,,臺中市兒童及少年福利機構及服務概況
130,104年臺中市兒童及少年家庭寄養概況,社會局,臺中市政府,社會局,,,臺中市兒童及少年家庭寄養概況
131,104年臺中市卡介苗預防接種工作,衛生局,臺中市政府,衛生局,,,臺中市卡介苗預防接種工作
132,104年臺中市各項預防接種工作量統計表,衛生局,臺中市政府,衛生局,,,臺中市各項預防接種工作量統計表
133,104年臺中市法定傳染病確定病例統計-年齡別,衛生局,臺中市政府,衛生局,,,臺中市法定傳染病確定病例統計-年齡別
134,104年臺中市弱勢兒童及少年扶助概況,社會局,臺中市政府,社會局,,,臺中市弱勢兒童及少年扶助概況
135,104年臺中市違反兒童及少年福利與權益保障法執行概況,社會局,臺中市政府,社會局,,,臺中市違反兒童及少年福利與權益保障法執行概況
136,104年臺中市法定傳染病確定病例統計-性別及區別分,衛生局,臺中市政府,衛生局,,,臺中市法定傳染病確定病例統計-性別及區別分
137,104年臺中市兒童及少年福利服務,社會局,臺中市政府,社會局,,,臺中市兒童及少年福利服務
138,104年臺中市違反兒童及少年福利與權益保障法執行概況,社會局,臺中市政府,社會局,,,臺中市違反兒童及少年福利與權益保障法執行概況
139,104年臺中市高級中等學校學生裸眼視力檢查-進修部(學校),教育局,臺中市政府,教育局,,,臺中市高級中等學校學生裸眼視力檢查-進修部(學校)
140,104年臺中市婦女福利服務,社會局,臺中市政府,社會局,,,臺中市婦女福利服務
141,104年臺中市高級中等學校學生裸眼視力檢查-實用技能學程,教育局,臺中市政府,教育局,,,臺中市高級中等學校學生裸眼視力檢查-實用技能學程
142,104年臺中市身心障礙者致殘成因,社會局,臺中市政府,社會局,,,臺中市身心障礙者致殘成因
143,104年臺中市身心障礙福利服務機構概況,社會局,臺中市政府,社會局,,,臺中市身心障礙福利服務機構概況
144,104年臺中市身心障礙生活補助,社會局,臺中市政府,社會局,,,臺中市身心障礙生活補助
145,104年臺中市現有警力配置,臺中市警察局,臺中市政府,警察局,,,臺中市現有警力配置
146,104年臺中市監視錄影系統建置、列管情形,臺中市警察局,臺中市政府,警察局,,,臺中市監視錄影系統建置、列管情形
147,104年臺中市高級中等學校學生裸眼視力檢查-專業群科(職業科),教育局,臺中市政府,教育局,,,臺中市高級中等學校學生裸眼視力檢查-專業群科(職業科)
148,104年臺中市高級中等學校學生裸眼視力檢查-普通科,教育局,臺中市政府,教育局,,,臺中市高級中等學校學生裸眼視力檢查-普通科
149,104年臺中市國民小學學生裸眼視力檢查,教育局,臺中市政府,教育局,,,臺中市國民小學學生裸眼視力檢查
150,104年臺中市國民中學學生裸眼視力檢查,教育局,臺中市政府,教育局,,,臺中市國民中學學生裸眼視力檢查
151,104年臺中市都市計畫公共設施用地已闢建面積,都市發展局,臺中市政府,都市發展局,,,臺中市都市計畫公共設施用地已闢建面積
152,104年臺中市都市計畫土地使用分區面積,都市發展局,臺中市政府,都市發展局,,,臺中市都市計畫土地使用分區面積
153,104年臺中市都市計畫公共設施用地已取得面積,都市發展局,臺中市政府,都市發展局,,,臺中市都市計畫公共設施用地已取得面積
154,104年臺中市都市計畫公共設施用地計畫面積,都市發展局,臺中市政府,都市發展局,,,臺中市都市計畫公共設施用地計畫面積
155,104年臺中市都市計畫地區種類,都市發展局,臺中市政府,都市發展局,,,臺中市都市計畫地區種類
156,104年臺中市都市計畫區域內現有已開闢道路長度及面積暨橋梁座數、自行車道長度,建設局,臺中市政府,建設局,,,臺中市都市計畫區域內現有已開闢道路長度及面積暨橋梁座數、自行車道長度
157,104年臺中市都市計畫地區面積及人口,都市發展局,臺中市政府,都市發展局,,,臺中市都市計畫地區面積及人口
158,104年臺中市天然災害水土保持設施損失情形,水利局,臺中市政府,水利局,,,臺中市天然災害水土保持設施損失情形
159,104年臺中市重大災害財物損失統計報表-災害收容情形統計,消防局,臺中市政府,消防局,,,臺中市重大災害財物損失統計報表-災害收容情形統計
160,104年臺中市其他天然災害人員傷亡、建物損失,消防局,臺中市政府,消防局,,,臺中市其他天然災害人員傷亡、建物損失
161,104年臺中市水患災害人員傷亡、建物損失,消防局,臺中市政府,消防局,,,104年臺中市水患災害人員傷亡、建物損失
162,104年臺中市風災災害人員傷亡、建物損失,消防局,臺中市政府,消防局,,,臺中市風災災害人員傷亡、建物損失
163,104年臺中市震災災害人員傷亡、建物損失,消防局,臺中市政府,消防局,,,臺中市震災災害人員傷亡、建物損失
164,104年臺中市公民營廢棄物清除處理機構許可統計,環保局,臺中市政府,環保局,,,臺中市公民營廢棄物清除處理機構許可統計
165,104年臺中市巨大垃圾統計,環保局,臺中市政府,環保局,,,臺中市巨大垃圾統計
166,104年臺中市水肥清運處理狀況,環保局,臺中市政府,環保局,,,臺中市水肥清運處理狀況
167,104年臺中市垃圾處理場(廠)及垃圾回收清除車輛統計,環保局,臺中市政府,環保局,,,臺中市垃圾處理場(廠)及垃圾回收清除車輛統計
168,104年臺中市垃圾處理場(廠)及垃圾清理車輛與機具,環保局,臺中市政府,環保局,,,臺中市垃圾處理場(廠)及垃圾清理車輛與機具
169,104年臺中市垃圾清理狀況,環保局,臺中市政府,環保局,,,臺中市垃圾清理狀況
170,104年臺中市資源回收成果統計,環保局,臺中市政府,環保局,,,臺中市資源回收成果統計
171,104年臺中市環境檢驗樣品分類統計,環保局,臺中市政府,環保局,,,臺中市環境檢驗樣品分類統計
172,104年臺中市環境影響評估案件統計,環保局,臺中市政府,環保局,,,臺中市環境影響評估案件統計
173,104年臺中市資源回收成果統計,環保局,臺中市政府,環保局,,,臺中市資源回收成果統計
174,104年臺中市公民營廢棄物清除處理機構許可統計,環保局,臺中市政府,環保局,,,臺中市公民營廢棄物清除處理機構許可統計
175,104年臺中市巨大垃圾統計,環保局,臺中市政府,環保局,,,臺中市巨大垃圾統計
176,104年臺中市造林工作,農業局,臺中市政府,農業局,,,臺中市造林工作
177,104年臺中市污水下水道系統污染管制情形,環保局,臺中市政府,環保局,,,臺中市污水下水道系統污染管制情形
178,104年臺中市事業廢水污染管制情形,環保局,臺中市政府,環保局,,,臺中市事業廢水污染管制情形
179,104年臺中市宗教財團法人概況,民政局,臺中市政府,民政局,,,臺中市宗教財團法人概況
180,104年臺中市非都市土地使用分區改劃,地政局,臺中市政府,地政局,,,臺中市非都市土地使用分區改劃
181,104年臺中市未辦繼承登記土地建物列冊管理,地政局,臺中市政府,地政局,,,臺中市未辦繼承登記土地建物列冊管理
182,104年臺中市地政士開業及異動,地政局,臺中市政府,地政局,,,臺中市地政士開業及異動
183,104年臺中市合作事業現有工作人員,社會局,臺中市政府,社會局,,,臺中市合作事業現有工作人員
184,104年臺中市合作社概況,社會局,臺中市政府,社會局,,,臺中市合作社概況
185,104年臺中市電影片映演業查察統計,文化局,臺中市政府,文化局,,,臺中市電影片映演業查察統計
186,104年臺中市核發街頭藝人證概況,文化局,臺中市政府,文化局,,,臺中市核發街頭藝人證概況
187,104年臺中市立公共圖書館概況,文化局,臺中市政府,文化局,,,臺中市立公共圖書館概況
188,104年臺中市國小圖書館統計,文化局,臺中市政府,文化局,,,臺中市國小圖書館統計
189,104年臺中市國中圖書館統計,文化局,臺中市政府,文化局,,,臺中市國中圖書館統計
190,104年臺中市各級古蹟概況,文化局,臺中市政府,文化局,,,臺中市各級古蹟概況
191,104年臺中市政府政風處預防工作績效統計,政風處,臺中市政府,政風處,,,臺中市政府政風處預防工作績效統計
192,104年臺中市查獲毒品案件-月別,臺中市警察局,臺中市政府,警察局,,,臺中市查獲毒品案件-月別
193,104年臺中市消費爭議事件處理情形,法制局,臺中市政府,法制局,,,臺中市消費爭議事件處理情形
194,104年臺中市消防車輛裝備,消防局,臺中市政府,消防局,,,臺中市消防車輛裝備
195,104年臺中市義勇消防人員人數,消防局,臺中市政府,消防局,,,臺中市義勇消防人員人數
196,104年臺中市縱火案件分析,消防局,臺中市政府,消防局,,,臺中市縱火案件分析
197,104年臺中市火災次數按起火原因分,消防局,臺中市政府,消防局,,,臺中市火災次數按起火原因分
198,104年臺中市火災次數按起火處所分,消防局,臺中市政府,消防局,,,臺中市火災次數按起火處所分
199,臺中市指定鑑定醫院清冊及窗口,臺中市政府衛生局,臺中市政府,衛生局,,,醫院名稱、一般鑑定窗口、居家鑑定窗口、聯絡電話、傳真號碼
200,臺中市身心障礙各區區公所窗口一覽表,臺中市政府衛生局,臺中市政府,衛生局,,,區公所、住址、承/協辦人、電話
201,臺中市居家護理所名冊,臺中市政府衛生局,臺中市政府,衛生局,,,機構名稱、地址、負責人、機構電話
202,臺中市立案產後護理之家名冊,臺中市政府衛生局,臺中市政府,衛生局,,,產後護理機構名稱、機構地址、機構電話、負責人
203,臺中市105年度違反醫療廣告統計資料(截至10/31),臺中市政府衛生局,臺中市政府,衛生局,,,違反法規、裁罰件數、刊載方式、違規樣態
204,104年臺中市起火建築物,消防局,臺中市政府,消防局,,,臺中市起火建築物
205,104年臺中市火災人員死傷、財物損失,消防局,臺中市政府,消防局,,,臺中市火災人員死傷、財物損失
206,104年臺中市火災次數分類及時間,消防局,臺中市政府,消防局,,,臺中市火災次數分類及時間
207,104年臺中市消防緊急救護急救處置,消防局,臺中市政府,消防局,,,臺中市消防緊急救護急救處置
208,104年臺中市消防緊急救護服務,消防局,臺中市政府,消防局,,,臺中市消防緊急救護服務
209,104年臺中市火災出動人員、車輛、船艇、直升機,消防局,臺中市政府,消防局,,,臺中市火災出動人員、車輛、船艇、直升機
210,104年臺中市防火宣導成果彙整,消防局,臺中市政府,消防局,,,臺中市防火宣導成果彙整
211,104年臺中市防火管理執行情形,消防局,臺中市政府,消防局,,,臺中市防火管理執行情形
212,104年臺中市爆竹煙火違法取締,消防局,臺中市政府,消防局,,,臺中市爆竹煙火違法取締
213,104年臺中市爆竹煙火安全檢查,消防局,臺中市政府,消防局,,,臺中市爆竹煙火安全檢查
214,104年臺中市廣告物管理統計,都市發展局,臺中市政府,都市發展局,,,臺中市廣告物管理統計
215,104年臺中市列管建築物,臺中市警察局,臺中市政府,警察局,,,臺中市列管建築物
